City,Temp.(F),Max Temp.(F),Humidity (%),Cloudiness,Wind Speed (mph),Latitude,Longitude,Date
0,Vila,49.19,54.0,76,40,2.24,42.03,-8.16,1579891030
1,Laguna,56.19,61.0,93,1,4.7,38.42,-121.42,1579891266
2,George Town,80.33,82.4,74,20,2.24,5.41,100.34,1579891268
3,Butaritari,84.2,84.2,74,100,8.32,3.07,172.79,1579891137
4,Hermanus,71.33,73.0,88,0,1.99,-34.42,19.23,1579891272
5,The Valley,82.65,82.99,65,40,4.7,18.22,-63.06,1579891274
6,Jamestown,43.03,46.0,45,1,10.29,42.1,-79.24,1579891277
7,Cayenne,86.0,86.0,62,40,10.29,4.93,-52.33,1579891279
8,Ilulissat,19.4,19.4,57,75,16.11,69.22,-51.1,1579891281
9,Denpasar,82.4,82.4,88,20,2.24,-8.65,115.22,1579891283
10,Geraldton,66.2,66.2,82,0,8.05,-28.77,114.6,1579891285
11,Yellowknife,5.0,5.0,84,75,8.05,62.46,-114.35,1579891052
12,Tuktoyaktuk,-2.2,-2.2,77,90,6.93,69.45,-133.04,1579891289
13,Vardo,21.29,26.6,63,75,13.87,70.37,31.11,1579891166
14,Rikitea,78.08,78.08,71,0,18.45,-23.12,-134.97,1579891294
15,Sabang,82.96,82.96,73,0,15.84,5.89,95.32,1579891296
16,Lake Havasu City,59.13,62.01,50,1,4.05,34.48,-114.32,1579891136
17,Castro,74.53,74.53,61,26,6.71,-24.79,-50.01,1579891300
18,Mzimba,64.62,64.62,96,20,5.77,-11.9,33.6,1579891302
19,Port-Gentil,82.4,82.4,83,75,8.05,-0.72,8.78,1579891304
20,Souillac,80.35,80.6,88,75,11.41,-20.52,57.52,1579891306
21,Kondopoga,28.4,28.4,86,76,8.95,62.21,34.26,1579891309
22,Ushuaia,55.4,55.4,54,75,3.06,-54.8,-68.3,1579891311
23,Busselton,62.33,64.99,53,80,11.5,-33.65,115.33,1579891313
24,Carauari,91.69,91.69,55,90,3.18,-4.88,-66.9,1579891315
25,'Ahuimanu,67.6,73.0,94,20,0.76,21.44,-157.84,1579891317
26,Faanui,82.4,82.4,74,17,14.54,-16.48,-151.75,1579891319
27,Poum,79.25,79.25,77,78,21.05,-20.23,164.02,1579891321
28,Bilma,66.11,66.11,11,0,7.25,18.69,12.92,1579891323
29,Hayden,40.1,44.6,100,90,4.7,47.77,-116.79,1579891325
30,Matara,73.72,73.72,86,38,7.54,5.95,80.54,1579891328
31,Mayor Pablo Lagerenza,96.46,96.46,23,27,12.33,-19.93,-60.77,1579891330
32,Barrow,-20.2,-20.2,75,1,9.17,71.29,-156.79,1579891332
33,Sarkand,25.84,25.84,62,100,3.49,45.41,79.92,1579891334
34,Hobart,58.48,60.8,55,99,13.87,-42.88,147.33,1579891203
35,New Norfolk,58.48,60.8,55,100,13.87,-42.78,147.06,1579891338
36,Kapaa,64.98,68.0,88,1,9.17,22.08,-159.32,1579891341
37,Puerto Ayora,82.51,86.0,58,40,17.22,-0.74,-90.35,1579891343
38,Lavrentiya,-16.42,-16.42,79,0,3.8,65.58,-171.0,1579891345
39,Anapskaya,40.08,41.0,60,75,15.66,44.89,37.38,1579891347
40,Khatanga,-26.88,-26.88,88,97,9.33,71.97,102.5,1579891349
41,San Quintin,62.17,62.17,72,100,5.26,30.48,-115.95,1579891257
42,Mount Pleasant,64.76,68.0,82,90,6.08,32.79,-79.86,1579891353
43,Arraial do Cabo,76.12,77.0,83,90,4.7,-22.97,-42.03,1579891355
44,Inhambupe,75.56,75.56,84,100,3.76,-11.78,-38.35,1579891358
45,Houma,62.53,64.99,31,1,6.93,29.6,-90.72,1579891297
46,Roebourne,87.22,87.22,49,0,10.13,-20.78,117.13,1579891362
47,Saskylakh,-27.94,-27.94,87,100,22.28,71.92,114.08,1579891364
48,Hilo,69.42,71.6,68,90,1.66,19.73,-155.09,1579891366
49,Albany,41.36,50.0,44,1,3.36,42.6,-73.97,1579891202
50,Kodiak,15.8,15.8,56,20,14.99,57.79,-152.41,1579891370
51,East London,75.2,75.2,78,20,5.82,-33.02,27.91,1579891373
52,Bethel,46.81,51.01,31,1,4.7,41.37,-73.41,1579891375
53,San Jose,56.08,60.01,87,40,4.7,37.34,-121.89,1579891124
54,Zhuhai,68.63,72.0,94,40,12.75,22.28,113.57,1579891164
55,Xining,13.1,13.1,84,26,2.59,36.62,101.77,1579891144
56,Aksu,24.71,24.71,74,100,3.02,41.12,80.26,1579891383
57,Qaanaaq,-9.54,-9.54,50,0,6.6,77.48,-69.36,1579891386
58,Egvekinot,-11.61,-11.61,86,78,5.53,66.32,-179.17,1579891388
59,Longyearbyen,8.6,8.6,60,40,21.92,78.22,15.64,1579891370
60,Ahipara,63.0,63.0,100,0,7.54,-35.17,173.17,1579891392
61,Kruisfontein,71.47,71.47,78,51,1.5,-34.0,24.73,1579891394
62,Saint George,48.4,52.0,53,1,5.82,37.1,-113.58,1579891276
63,Inhambane,78.8,78.8,65,40,13.53,-23.86,35.38,1579891108
64,Kismayo,80.94,80.94,86,99,12.08,-0.36,42.55,1579891207
65,Bredasdorp,69.87,70.0,77,0,10.11,-34.53,20.04,1579891403
66,Upernavik,-13.49,-13.49,89,30,4.54,72.79,-56.15,1579891405
67,Bluff,59.0,59.0,96,100,1.99,-46.6,168.33,1579891407
68,Bentiu,76.69,76.69,17,87,4.85,9.23,29.83,1579891409
69,Menongue,70.38,70.38,68,43,2.95,-14.66,17.69,1579891411
70,Port Elizabeth,68.0,68.0,82,59,11.41,-33.92,25.57,1579891202
71,Port Hardy,46.4,46.4,93,75,6.93,50.7,-127.42,1579891415
72,Kavieng,83.28,83.28,65,0,5.97,-2.57,150.8,1579891417
73,Mataura,59.0,59.0,96,100,1.99,-46.19,168.86,1579891420
74,San Patricio,86.0,86.0,74,20,4.23,19.22,-104.7,1579891404
75,Pierre,23.09,25.0,92,90,3.11,44.37,-100.35,1579891315
76,Sur,69.66,69.66,72,7,3.87,22.57,59.53,1579891426
77,Punta Arenas,44.4,44.6,87,90,10.29,-53.15,-70.92,1579891401
78,Fukuecho,55.4,55.4,76,86,9.17,32.69,128.84,1579891430
79,Bubaque,79.79,79.79,65,24,13.09,11.28,-15.83,1579891394
80,Avarua,80.6,80.6,88,83,6.93,-21.21,-159.78,1579891434
81,Atuona,80.01,80.01,81,43,14.41,-9.8,-139.03,1579891436
82,Viedma,79.63,79.63,18,28,9.33,-40.81,-63.0,1579891271
83,Bambous Virieux,80.33,80.6,88,75,11.41,-20.34,57.76,1579891441
84,Norman Wells,-7.6,-7.6,76,90,5.82,65.28,-126.83,1579891407
85,Vestmannaeyjar,37.4,37.4,82,100,22.64,63.44,-20.27,1579891420
86,Koroni,48.87,52.0,81,19,2.24,36.8,21.95,1579891447
87,Vanimo,82.65,82.65,77,96,6.29,-2.67,141.3,1579891449
88,Esperance,60.8,60.8,100,90,6.93,-33.87,121.9,1579891451
89,Salaya,70.77,70.77,57,0,8.93,22.32,69.6,1579891453
90,Spencer,29.1,30.99,100,90,13.87,43.14,-95.14,1579891456
91,Port Lincoln,60.98,60.98,83,0,6.42,-34.73,135.87,1579891458
92,Dmitrovsk-Orlovskiy,33.57,33.57,98,99,16.13,52.51,35.15,1579891460
93,Carnarvon,78.8,78.8,65,0,17.22,-24.87,113.63,1579891171
94,Nikolskoye,34.77,36.0,96,75,13.42,59.7,30.79,1579891464
95,Lata,51.75,55.99,76,20,4.7,40.16,-8.33,1579891466
96,Santa Cruz de la Palma,62.2,66.2,59,75,1.12,28.68,-17.76,1579891468
97,Zhigansk,-42.92,-42.92,96,48,8.66,66.77,123.37,1579891218
98,Iglesias,57.2,57.2,93,40,6.93,39.31,8.54,1579891473
99,Rundu,82.4,82.4,58,51,1.12,-17.93,19.77,1579891473
100,Muli,82.78,82.78,81,98,21.34,2.92,73.57,1579891477
101,Oyotun,66.2,66.2,29,79,11.41,-6.85,-79.3,1579891479
102,Vaini,77.0,77.0,88,20,5.82,-21.2,-175.2,1579891481
103,Narsaq,26.6,26.6,79,90,4.36,60.92,-46.05,1579891483
104,Plerin,37.87,39.2,86,90,4.7,48.54,-2.78,1579891235
105,Atasu,33.46,33.46,98,100,17.58,48.68,71.64,1579891488
106,Bengkulu,74.03,74.03,97,100,4.27,-3.8,102.27,1579891408
107,Kloulklubed,77.0,77.0,94,90,9.17,7.04,134.26,1579891492
108,Chokurdakh,-35.1,-35.1,88,0,4.68,70.63,147.92,1579891494
109,Muroto,43.54,43.54,81,62,5.77,33.28,134.15,1579891496
110,Hong Kong,67.96,71.01,88,40,14.99,22.29,114.16,1579891498
111,Yuli,78.28,78.28,7,29,5.97,9.7,10.27,1579891500
112,Severo-Kuril'sk,14.31,14.31,87,80,22.82,50.68,156.12,1579891503
113,Grindavik,32.0,32.0,82,90,18.34,63.84,-22.43,1579891330
114,Lulea,26.6,26.6,79,67,1.12,65.58,22.15,1579891270
115,Rome,42.49,44.01,38,90,9.17,43.21,-75.46,1579891418
116,Hithadhoo,84.45,84.45,76,53,9.64,-0.6,73.08,1579891511
117,Watsa,71.6,71.6,34,26,2.19,3.04,29.54,1579891513
118,Carutapera,82.83,82.83,81,42,14.67,-1.2,-46.02,1579891515
119,Cidreira,74.08,74.08,74,10,12.53,-30.18,-50.21,1579891411
120,Mahebourg,80.35,80.6,88,75,11.41,-20.41,57.7,1579891519
121,Kholodnyy,-33.84,-33.84,100,1,6.15,62.72,147.95,1579891521
122,La Ronge,23.0,23.0,79,20,8.05,55.1,-105.28,1579891354
123,Mercedes,89.51,91.99,48,88,5.01,-34.65,-59.43,1579891526
124,Kasongo-Lunda,73.63,73.63,78,43,1.92,-6.47,16.82,1579891528
125,Tasiilaq,19.4,19.4,57,75,31.09,65.61,-37.64,1579891396
126,Corowa,54.55,57.2,93,13,6.93,-36.03,146.38,1579891532
127,Guerrero,70.97,70.97,36,26,3.51,17.67,-100.0,1579891534
128,Lompoc,62.46,69.01,87,1,14.99,34.64,-120.46,1579891400
129,Regina,23.22,30.2,92,75,19.46,50.45,-104.62,1579891520
130,Margate,42.26,44.01,100,75,3.94,51.38,1.39,1579891541
131,Beysehir,17.35,17.35,84,0,6.73,37.68,31.72,1579891362
132,Havelock,64.62,69.01,72,90,10.29,34.88,-76.9,1579891545
133,Leningradskiy,-23.42,-23.42,70,0,2.68,69.38,178.42,1579891424
134,Novokizhinginsk,-5.21,-5.21,96,1,4.47,51.61,109.59,1579891549
135,Beyla,89.49,89.49,11,61,5.3,8.68,-8.63,1579891551
136,Kawalu,71.73,71.73,93,100,1.72,-7.38,108.21,1579891553
137,Tilichiki,6.28,6.28,95,100,13.53,60.47,166.1,1579891556
138,Hastings,41.9,43.0,93,75,5.82,50.86,0.57,1579891558
139,Bogande,82.13,82.13,8,58,10.18,12.97,-0.14,1579891411
140,Cherskiy,-37.39,-37.39,97,65,3.96,68.75,161.3,1579891562
141,Topeka,31.5,33.01,86,90,17.22,39.05,-95.68,1579891561
142,Tiksi,-33.57,-33.57,88,0,5.55,71.69,128.87,1579891566
143,Thompson,12.2,12.2,85,75,4.7,55.74,-97.86,1579891386
144,Freeport,47.89,53.6,32,1,12.1,40.66,-73.58,1579891570
145,Whitianga,62.01,62.01,95,15,1.99,-36.83,175.7,1579891573
146,Palana,-6.25,-6.25,96,100,4.97,59.12,159.97,1579891575
147,San Miguel de Tucuman,89.6,89.6,52,61,8.05,-26.82,-65.22,1579891502
148,Gornyy,26.58,26.58,95,100,15.57,55.12,83.91,1579891579
149,Waverly,35.73,37.0,93,90,9.17,42.74,-84.62,1579891542
150,Morwa,64.24,64.24,36,0,1.19,22.9,73.83,1579891583
151,Husavik,28.4,28.4,79,20,5.82,66.04,-17.34,1579891585
152,Kaitangata,68.0,68.0,68,100,7.25,-46.28,169.85,1579891587
153,Cape Town,68.09,73.0,88,20,12.75,-33.93,18.42,1579891349
154,Mogadishu,81.23,81.23,85,80,24.9,2.04,45.34,1579891592
155,Urucara,98.4,98.4,35,57,3.65,-2.54,-57.76,1579891594
156,Formello,51.31,55.0,76,75,8.05,42.08,12.4,1579891596
157,Bafq,47.25,47.25,29,0,7.67,31.61,55.41,1579891598
158,Corinth,44.51,48.99,75,20,2.04,37.94,22.96,1579891600
159,Antalaha,79.38,79.38,83,100,8.97,-14.9,50.28,1579891603
160,Saint-Philippe,76.39,78.8,94,100,16.11,-21.36,55.77,1579891605
161,Mersa Matruh,53.6,53.6,58,75,11.41,31.35,27.25,1579891607
162,Preston,43.68,45.0,93,75,5.82,53.77,-2.72,1579891609
163,Yar-Sale,4.46,4.46,96,97,6.29,66.83,70.83,1579891611
164,Provideniya,-7.8,-7.8,96,91,5.12,64.38,-173.3,1579891613
165,Doha,59.32,60.8,59,0,8.05,25.29,51.53,1579891534
166,Belyy Yar,17.6,17.6,85,100,2.24,53.6,91.39,1579891617
167,Pala,74.88,74.88,10,15,4.47,9.36,14.9,1579891620
168,Mareeba,76.05,78.8,94,90,3.36,-17.0,145.43,1579891426
169,Shelburne,37.11,39.0,59,75,18.34,44.08,-80.2,1579891624
170,Dikson,-3.57,-3.57,96,100,8.43,73.51,80.55,1579891626
171,Mitsamiouli,75.2,75.2,94,90,4.7,-11.38,43.28,1579891628
172,Vao,76.73,76.73,81,25,19.89,-22.67,167.48,1579891630
173,Nandu,63.25,63.25,72,100,2.91,22.85,110.82,1579891632
174,Robertsport,82.31,82.31,79,33,13.27,6.75,-11.37,1579891634
175,Schleswig,40.32,44.6,93,98,16.11,54.52,9.55,1579891636
176,Asosa,67.71,67.71,31,96,5.35,10.07,34.53,1579891639
177,Port Macquarie,72.01,73.4,94,90,1.12,-31.43,152.92,1579891625
178,College,-6.03,-2.2,76,90,2.66,64.86,-147.8,1579891644
179,Sao Filipe,74.61,74.61,67,2,16.67,14.9,-24.5,1579891646
180,Yumen,19.06,19.06,53,9,9.69,40.28,97.2,1579891648
181,Yulara,78.8,78.8,22,60,8.05,-25.24,130.99,1579891650
182,Manyana,68.85,68.85,75,65,10.49,-23.4,21.72,1579891653
183,Malaya Vishera,32.43,32.43,96,86,6.26,58.85,32.22,1579891655
184,Lai,74.91,74.91,10,25,5.53,9.4,16.3,1579891657
185,Krasnosel'kup,17.06,17.06,93,94,15.5,65.7,82.47,1579891659
186,Hambantota,80.26,80.26,75,21,25.72,6.12,81.12,1579891661
187,Nabire,73.51,73.51,97,95,1.63,-3.37,135.48,1579891663
188,Beringovskiy,-0.53,-0.53,98,100,9.46,63.05,179.32,1579891467
189,Broome,45.9,46.99,56,1,6.93,42.25,-75.83,1579891668
190,Kuusamo,10.4,10.4,85,20,1.12,65.97,29.18,1579891670
191,Santiago del Estero,93.61,93.61,26,35,6.44,-27.8,-64.26,1579891672
192,Cap Malheureux,80.28,80.6,88,75,11.41,-19.98,57.61,1579891674
193,Khujner,58.98,58.98,37,0,5.75,23.78,76.6,1579891676
194,San Vicente,80.01,80.01,67,0,1.01,-26.62,-54.13,1579891678
195,Coquimbo,77.0,77.0,53,0,14.99,-29.95,-71.34,1579891680
196,Det Udom,75.2,75.2,73,7,1.12,14.91,105.08,1579891682
197,Mount Isa,77.0,77.0,94,75,5.82,-20.73,139.5,1579891418
198,Takoradze,82.83,82.83,73,2,8.32,4.88,-1.76,1579891687
199,Zheleznogorsk,33.73,33.73,97,100,17.2,52.33,35.37,1579891689
200,Kiryat Gat,45.25,48.99,76,20,5.82,31.61,34.76,1579891691
201,Bhainsdehi,63.27,63.27,52,0,3.49,21.65,77.63,1579891693
202,Merrill,33.19,35.01,100,90,5.82,45.18,-89.68,1579891673
203,Salinopolis,81.97,81.97,82,85,14.88,-0.61,-47.36,1579891698
204,Basco,77.07,77.07,73,62,20.24,20.45,121.97,1579891700
205,Khoy,18.34,18.34,68,78,2.37,38.55,44.95,1579891624
206,Ponta do Sol,58.51,62.6,51,20,6.93,32.67,-17.1,1579891409
207,Klaksvik,37.4,37.4,86,100,5.82,62.23,-6.59,1579891706
208,Zavallya,31.8,31.8,60,43,8.08,48.21,30.02,1579891708
209,Huesca,44.56,46.0,93,93,1.12,42.14,-0.41,1579891710
210,Algarrobo,93.52,93.52,39,63,6.04,10.19,-74.58,1579891712
211,Bambanglipuro,75.92,75.92,88,92,2.26,-7.95,110.28,1579891714
212,Zeya,-25.62,-25.62,78,0,1.16,53.75,127.27,1579891717
213,Shihezi,3.6,3.6,93,80,6.17,44.3,86.03,1579891719
214,Port Alfred,69.01,69.01,96,67,11.01,-33.59,26.89,1579891721
215,Ciudad Rio Bravo,69.39,73.0,52,75,4.7,25.98,-98.1,1579891634
216,Borovoy,28.4,28.4,92,90,11.18,55.43,86.08,1579891725
217,Mehamn,24.8,24.8,79,75,10.29,71.04,27.85,1579891727
218,Tessalit,82.15,82.15,9,99,7.29,20.2,1.01,1579891729
219,Chicama,80.6,80.6,74,20,9.17,-7.84,-79.15,1579891731
220,Puerto Asis,87.8,87.8,70,75,4.7,0.51,-76.5,1579891734
221,Chui,82.09,82.09,44,0,6.6,-33.7,-53.46,1579891736
222,Rio Grande,85.59,87.8,45,20,9.17,-32.03,-52.1,1579891621
223,Zeulenroda,27.7,30.99,100,90,10.29,50.65,11.98,1579891740
224,Bontang,80.62,80.62,84,87,11.7,0.13,117.5,1579891742
225,Samarai,76.15,76.15,90,18,3.02,-10.62,150.67,1579891745
226,Gizo,77.58,77.58,87,16,5.61,-8.1,156.84,1579891747
227,Torbay,32.38,33.01,81,75,13.87,47.67,-52.73,1579891749
228,Taltal,74.73,74.73,65,11,8.08,-25.4,-70.48,1579891751
229,Kieta,81.01,81.01,77,37,5.61,-6.22,155.63,1579891753
230,Ndele,71.67,71.67,13,91,6.17,8.41,20.65,1579891756
231,Santa Maria,82.4,82.4,51,20,12.75,-29.68,-53.81,1579891758
232,Sargur,66.72,66.72,51,39,6.58,11.98,76.42,1579891760
233,Zaton,28.4,28.4,63,100,11.18,53.29,83.81,1579891762
234,Hofn,30.2,30.2,58,20,5.82,64.25,-15.21,1579891764
235,Alice Springs,75.2,75.2,31,28,5.82,-23.7,133.88,1579891500
236,Muros,49.53,54.0,81,40,2.01,42.78,-9.06,1579891768
237,Salou,48.63,54.0,100,73,7.87,41.08,1.14,1579891770
238,Kot Radha Kishan,53.6,53.6,62,20,5.48,31.17,74.1,1579891773
239,Dhidhdhoo,82.56,82.56,77,43,8.3,6.88,73.1,1579891775
240,Chateaudun,35.96,37.99,100,0,8.05,48.08,1.33,1579891777
241,Kitimat,33.91,34.0,100,90,5.82,54.05,-128.65,1579891779
242,Nishihara,68.72,69.8,94,75,5.82,26.18,127.76,1579891781
243,Nador,57.92,59.0,82,0,5.82,35.17,-2.93,1579891783
244,Sao Joao da Barra,76.93,78.8,94,90,4.7,-21.64,-41.05,1579891785
245,Airai,67.32,67.32,92,73,3.18,-8.93,125.41,1579891787
246,Diffa,69.03,69.03,12,0,11.05,13.32,12.61,1579891790
247,Bolhrad,28.4,28.4,68,1,8.05,45.68,28.61,1579891792
248,Panama,88.81,90.0,52,40,13.87,8.99,-79.52,1579891794
249,Broken Hill,62.6,62.6,36,0,3.36,-31.95,141.43,1579891623
250,Katiola,89.6,89.6,19,6,4.7,8.13,-5.1,1579891798
251,Sept-Iles,16.41,17.01,47,20,5.82,50.2,-66.38,1579891800
252,Beloha,70.18,70.18,75,0,13.94,-25.17,45.05,1579891802
253,Kangaatsiaq,21.43,21.43,82,100,24.29,68.31,-53.46,1579891804
254,Kamaishi,27.68,27.68,57,0,6.46,39.27,141.88,1579891807
255,Sorland,32.18,33.8,80,75,25.28,67.67,12.69,1579891809
256,Otradnoye,34.3,36.0,96,75,13.42,59.78,30.82,1579891571
257,Coahuayana Viejo,77.0,77.0,61,40,5.82,18.73,-103.68,1579891813
258,Calvinia,73.29,73.29,39,0,14.58,-31.47,19.78,1579891815
259,Vaitape,82.4,82.4,74,17,14.54,-16.52,-151.75,1579891817
260,Codrington,60.4,60.4,90,38,17.9,-38.27,141.97,1579891819
261,Mahon,50.0,50.0,93,0,6.93,39.89,4.27,1579891822
262,Tiznit,55.85,55.85,55,33,5.57,29.58,-9.5,1579891824
263,Khatassy,-49.0,-49.0,56,90,2.24,61.9,129.64,1579891826
264,Moose Factory,15.8,15.8,66,75,2.24,51.26,-80.61,1579891828
265,Vila Franca do Campo,57.2,57.2,67,75,9.17,37.72,-25.43,1579891830
266,Japura,73.2,73.2,97,30,2.3,-0.32,102.35,1579891832
267,Mayahi,74.26,74.26,8,0,11.27,13.96,7.67,1579891834
