City,Temp.(F),Max Temp.(F),Humidity (%),Cloudiness,Wind Speed (mph),Latitude,Longitude,Date
268,Cocorit,71.6,71.6,49,75,3.36,27.58,-109.97,1579891836
269,Aklavik,-4.88,-4.0,76,90,10.29,68.22,-135.01,1579891839
270,Ribeira Grande,59.0,59.0,62,75,5.82,38.52,-28.7,1579891841
271,Labuhan,76.84,76.84,86,40,1.92,-6.88,112.21,1579891843
272,Santander,50.94,55.0,93,78,3.36,43.46,-3.8,1579891845
273,Togur,19.9,19.9,95,70,6.13,58.36,82.83,1579891847
274,Yanam,68.41,68.41,84,41,1.05,16.73,82.22,1579891849
275,Quimper,41.11,42.8,81,90,4.7,48.0,-4.1,1579891851
276,Deputatsky,-36.53,-36.53,96,3,1.83,69.3,139.9,1579891854
277,Opuwo,81.66,81.66,29,85,16.08,-18.06,13.84,1579891856
278,Iquitos,42.8,42.8,100,75,4.7,-3.75,-73.25,1579891608
279,Tunceli,28.45,30.2,46,0,5.82,39.11,39.55,1579891860
280,Bereda,49.42,51.01,81,100,1.01,43.27,-7.54,1579891862
281,Barcelos,52.9,55.4,81,13,3.36,41.54,-8.62,1579891864
282,Jackson,47.95,50.0,93,75,3.36,42.42,-122.83,1579891827
283,Amahai,86.0,86.0,72,10,7.65,-3.33,128.92,1579891869
284,Tomatlan,85.15,85.15,46,75,2.91,19.93,-105.25,1579891800
285,Lagoa,57.4,57.4,69,100,10.2,39.05,-27.98,1579891873
286,Gamovo,15.8,15.8,85,75,13.42,57.87,56.11,1579891875
287,Banda Aceh,73.81,73.81,95,3,4.7,5.56,95.32,1579891720
288,Biharamulo,66.13,66.13,76,94,1.14,-2.63,31.31,1579891879
289,Genhe,-21.1,-21.1,99,0,2.42,50.78,121.52,1579891881
290,Alofi,77.0,77.0,100,75,2.24,-19.06,-169.92,1579891883
291,Dongkan,39.85,39.85,75,100,6.78,34.0,119.83,1579891886
292,Saldanha,69.8,69.8,73,0,8.05,-33.01,17.94,1579891888
293,Kazachinskoye,28.69,28.69,95,100,8.34,57.7,93.28,1579891890
294,Songjianghe,2.1,2.1,82,0,5.14,42.19,127.48,1579891892
295,Mardin,41.0,41.0,60,90,11.41,37.31,40.74,1579891894
296,Hobyo,80.01,80.01,79,75,22.24,5.35,48.53,1579891896
297,Waingapu,83.55,83.55,74,12,7.14,-9.66,120.26,1579891898
298,Miracema do Tocantins,82.29,82.29,80,88,4.97,-9.56,-48.4,1579891901
299,Teknaf,53.73,53.73,51,66,3.09,20.86,92.31,1579891903
300,Ketchikan,45.46,46.4,100,90,24.16,55.34,-131.65,1579891818
301,Howard Springs,83.86,84.99,89,75,8.05,-12.5,131.05,1579891907
302,Lebu,72.01,72.01,32,0,12.28,-37.62,-73.65,1579891909
303,Republic,32.23,33.01,88,90,11.41,37.12,-93.48,1579891911
304,Makakilo City,67.62,73.0,93,40,0.76,21.35,-158.09,1579891913
305,Berdigestyakh,-40.29,-40.29,99,10,3.58,62.1,126.7,1579891915
306,Sherlovaya Gora,-15.75,-15.75,88,0,0.65,50.57,116.25,1579891918
307,Kenora,16.07,17.6,92,90,1.63,49.82,-94.43,1579891659
308,Cabatuan,73.94,73.94,93,11,7.61,10.88,122.49,1579891922
309,Bronnoysund,33.19,34.0,80,75,8.05,65.46,12.2,1579891809
310,Bonavista,30.0,30.0,73,67,11.99,48.65,-53.11,1579891926
311,Miyako,27.68,27.68,57,0,6.46,39.64,141.95,1579891928
312,Jacareacanga,93.2,93.2,59,40,6.93,-6.22,-57.75,1579891930
313,Richards Bay,78.15,78.15,75,33,24.11,-28.78,32.04,1579891933
314,Verkhnyaya Inta,1.67,1.67,96,100,10.09,65.98,60.31,1579891935
315,Gamba,80.22,80.22,82,80,4.5,-2.65,10.0,1579891937
316,Zhoucheng,36.36,36.36,45,100,2.04,35.91,116.31,1579891672
317,Ostrovnoy,11.3,11.3,88,100,6.76,68.05,39.51,1579891941
318,Dali,29.75,29.75,77,0,2.28,25.7,100.18,1579891943
319,Katsuura,45.57,46.4,52,75,18.34,35.13,140.3,1579891945
320,Kulhudhuffushi,82.54,82.54,79,62,9.44,6.62,73.07,1579891947
321,Wanning,70.02,70.02,88,49,6.6,18.8,110.4,1579891949
322,Lokosovo,9.99,9.99,93,100,8.32,61.13,74.82,1579891952
323,Aquiraz,87.04,89.6,55,20,13.87,-3.9,-38.39,1579891787
324,Nemuro,21.4,21.4,62,50,28.66,43.32,145.57,1579891956
325,Nouadhibou,68.0,68.0,64,83,13.87,20.93,-17.03,1579891958
326,Sal Rei,76.24,77.0,65,73,12.75,16.18,-22.92,1579891960
327,Coos Bay,52.25,54.0,93,90,9.17,43.37,-124.22,1579891903
328,Den Chai,76.17,80.01,58,47,1.97,17.98,100.05,1579891964
329,San Juan de Mata,75.2,75.2,83,90,2.24,15.54,120.53,1579891966
330,Bandarbeyla,78.8,78.8,85,100,18.79,9.49,50.81,1579891969
331,Villamontes,96.8,96.8,30,18,13.87,-21.25,-63.5,1579891971
332,Manokwari,72.68,72.68,80,43,2.86,-0.87,134.08,1579891973
333,Cabo San Lucas,71.01,73.99,68,40,10.29,22.89,-109.91,1579891949
334,Zarasai,42.13,42.13,85,100,14.38,55.73,26.25,1579891977
335,Kapit,72.21,72.21,99,94,1.07,2.02,112.93,1579891979
336,Gomel,33.8,33.8,100,90,11.18,52.43,30.98,1579891981
337,Itoman,68.76,69.8,94,75,5.82,26.12,127.67,1579891984
338,Edgewood,49.95,54.0,71,75,11.41,39.42,-76.29,1579891965
339,Mahon,50.0,50.0,93,0,6.93,39.89,4.27,1579891988
340,Beatrice,29.66,30.99,92,90,14.99,40.27,-96.75,1579891990
341,Olafsvik,31.15,31.15,79,100,10.94,64.89,-23.71,1579891992
342,Ixtapa,79.77,80.6,61,20,3.36,20.7,-105.2,1579891818
343,Porto-Novo,84.2,84.2,62,31,4.7,6.5,2.6,1579891997
344,Uthal,67.62,67.62,46,0,5.84,25.81,66.62,1579891999
345,Mayo,49.39,53.6,66,75,7.07,38.89,-76.51,1579892001
346,Pangnirtung,-29.2,-29.2,66,20,3.36,66.15,-65.71,1579892003
347,Ghanzi,74.19,74.19,62,54,12.59,-21.57,21.78,1579892005
348,Valparaiso,71.31,77.0,53,24,11.41,-33.04,-71.63,1579892007
349,Holme,43.02,44.6,93,100,8.05,56.11,10.17,1579892009
350,Jalu,56.55,56.55,57,0,7.45,29.03,21.55,1579892011
351,Clyde River,-14.8,-14.8,75,75,14.99,70.47,-68.59,1579892014
352,Atar,89.6,89.6,15,19,4.7,20.52,-13.05,1579892016
353,Mossamedes,75.51,75.51,77,0,11.43,-15.2,12.15,1579892018
354,Birao,63.59,63.59,15,73,8.68,10.28,22.79,1579892020
355,Salalah,77.0,77.0,78,0,2.24,17.02,54.09,1579891984
356,Fairbanks,-6.97,-4.0,69,90,1.23,64.84,-147.72,1579891775
357,Saint-Louis,93.2,93.2,23,0,4.7,16.33,-15.0,1579892026
358,Butajira,66.7,66.7,64,100,11.36,8.12,38.37,1579892028
359,Villaviciosa,49.73,52.0,87,75,4.7,43.48,-5.44,1579892031
360,Mount Gambier,59.0,59.0,100,90,8.05,-37.83,140.77,1579892033
361,Daru,76.8,76.8,84,94,1.32,-9.08,143.21,1579892035
362,Acapulco de Juarez,86.0,86.0,66,20,4.7,16.86,-99.89,1579891765
363,Deep River,37.11,37.99,59,1,6.93,46.1,-77.5,1579892039
364,Yangi Marg`ilon,37.4,37.4,69,90,6.93,40.43,71.72,1579892041
365,Meulaboh,84.67,84.67,68,50,1.32,4.14,96.13,1579892044
366,Puerto Colombia,87.8,87.8,55,40,13.87,10.99,-74.95,1579892046
367,Meadow Lake,45.45,48.99,48,1,5.68,34.8,-106.54,1579892048
368,Karratha,84.04,84.04,77,0,15.03,-20.74,116.85,1579892026
369,Boyolangu,75.47,75.47,91,51,0.87,-8.12,111.89,1579892052
370,Chase,38.35,41.0,80,75,18.34,50.82,-119.69,1579892054
371,Leh,-7.01,-7.01,56,96,4.99,34.17,77.58,1579892056
372,Muheza,77.85,77.85,87,100,7.76,-5.17,38.78,1579892058
373,Half Moon Bay,56.66,60.01,82,1,6.93,37.46,-122.43,1579891907
374,Ternate,73.06,73.06,89,36,2.98,0.8,127.4,1579892063
375,Navahrudak,34.88,34.88,89,100,17.94,53.6,25.83,1579892065
376,Hasaki,37.45,39.2,68,75,3.36,35.73,140.83,1579892067
377,Berlevag,28.24,28.24,68,100,14.52,70.86,29.09,1579892069
378,Yicheng,44.6,48.99,77,100,10.47,31.37,119.87,1579892071
379,Chiredzi,74.86,74.86,62,89,3.4,-21.05,31.67,1579892073
380,Yerbogachen,0.01,0.01,96,100,6.17,61.28,108.01,1579892075
381,Oruzgan,27.57,27.57,95,100,1.21,32.83,66.0,1579892077
382,Ust-Nera,-44.09,-44.09,100,87,1.25,64.57,143.2,1579892080
383,Tigil,2.48,2.48,94,100,12.86,57.8,158.67,1579892082
384,Kavaratti,82.04,82.04,69,33,3.85,10.57,72.64,1579892084
385,Kenai,-7.31,12.99,82,1,7.56,60.55,-151.26,1579892086
386,Sola,78.8,78.8,94,40,13.71,-13.88,167.55,1579892088
387,Mar del Plata,87.28,91.4,43,40,20.8,-38.0,-57.56,1579892090
388,Pevek,-27.89,-27.89,97,0,1.81,69.7,170.31,1579892092
389,Mayumba,83.8,83.8,78,39,7.74,-3.43,10.66,1579892094
390,Coyhaique,64.04,66.2,52,75,11.41,-45.58,-72.07,1579892097
391,Baruun-Urt,-1.44,-1.44,84,53,7.99,46.68,113.28,1579892099
392,Erenhot,12.15,12.15,80,0,10.71,43.65,111.98,1579892101
393,Kupang,77.0,77.0,100,40,2.24,-10.17,123.58,1579892103
394,Martapura,74.52,74.52,93,50,1.79,-3.42,114.85,1579892105
395,Medea,51.8,51.8,76,20,1.12,36.26,2.75,1579892107
396,Tura,54.39,54.39,53,0,3.09,25.52,90.22,1579892109
397,Agua Dulce,77.0,77.0,78,90,10.29,18.13,-94.13,1579892112
398,Trzic,32.25,39.99,92,11,2.24,46.36,14.31,1579892114
399,Bartica,87.8,87.8,58,40,6.93,6.4,-58.62,1579892116
400,Pochutla,83.7,87.01,69,75,9.95,15.74,-96.47,1579891926
401,Kerman,35.6,35.6,51,0,6.93,30.28,57.08,1579892120
402,Srivardhan,75.16,75.16,64,90,5.77,18.03,73.02,1579892122
403,Posse,68.81,68.81,96,100,11.21,-14.09,-46.37,1579892124
404,Racale,53.44,55.99,76,75,9.17,39.96,18.09,1579892126
405,Onguday,9.7,9.7,59,94,7.11,50.75,86.15,1579892129
406,San Juan,97.38,97.38,17,53,15.77,-31.54,-68.54,1579892131
407,Sorong,72.79,72.79,88,2,1.95,-0.88,131.25,1579892133
408,Namie,35.17,39.0,52,92,1.99,37.48,141.0,1579892135
409,Hualmay,81.93,81.93,51,31,11.65,-11.1,-77.61,1579892092
410,Alvaraes,89.6,89.6,75,40,4.7,-3.22,-64.8,1579892139
411,Namatanai,82.85,82.85,78,11,12.21,-3.67,152.43,1579892141
412,Palmer,44.1,48.0,33,1,4.7,42.16,-72.33,1579892128
413,Isawa,39.4,48.0,64,75,8.05,35.65,138.63,1579892146
414,Khovd,1.0,1.0,77,2,1.21,48.01,91.64,1579892148
415,Plouzane,40.82,42.8,93,6,8.05,48.38,-4.62,1579892150
416,Naze,66.2,66.2,100,98,3.36,28.37,129.48,1579892152
417,Conceicao do Araguaia,87.8,87.8,66,75,9.17,-8.26,-49.26,1579892154
418,Rio Gallegos,55.4,55.4,66,90,11.41,-51.62,-69.22,1579892156
419,Thinadhoo,83.21,83.21,81,100,14.88,0.53,72.93,1579892158
420,Luebo,76.91,76.91,54,100,1.59,-5.35,21.42,1579892160
421,Isangel,71.6,71.6,100,75,11.05,-19.55,169.27,1579892163
422,Kalmunai,80.85,80.85,76,30,13.69,7.42,81.82,1579892165
423,Pisco,71.6,71.6,30,75,10.29,-13.7,-76.22,1579892167
424,Santona,50.56,53.01,93,90,3.36,43.44,-3.46,1579892169
425,Iqaluit,-23.4,-23.01,67,20,13.87,63.75,-68.51,1579892171
426,Ankang,33.49,33.49,94,100,2.82,32.68,109.02,1579892173
427,Polson,36.36,37.99,93,90,4.92,47.69,-114.16,1579892175
428,Comodoro Rivadavia,80.6,80.6,32,64,26.4,-45.87,-67.5,1579892178
429,Rum,30.79,34.0,74,0,1.12,47.3,11.43,1579892180
430,Saint-Joseph,76.28,78.8,94,100,16.11,-21.37,55.62,1579892182
431,Murgab,41.0,41.0,86,0,2.24,37.5,61.97,1579892184
432,Adrar,80.17,80.17,19,60,5.59,20.5,-10.07,1579892186
433,Talnakh,6.8,6.8,77,75,8.95,69.49,88.4,1579892188
434,Jiangyou,32.36,32.36,92,97,1.63,31.77,104.72,1579892190
435,Ayabaca,73.44,73.44,62,96,4.27,-4.64,-79.71,1579892192
436,Floro,34.97,37.0,93,40,5.82,61.6,5.03,1579892195
437,Koutiala,87.62,87.62,6,55,9.31,12.39,-5.46,1579892197
438,Waycross,67.86,71.6,82,90,10.29,31.21,-82.35,1579891966
439,Avera,59.41,64.4,100,90,6.93,33.19,-82.53,1579892201
440,Campeche,82.24,82.24,62,100,0.54,19.0,-90.5,1579892203
441,Ballina,77.2,80.6,88,75,9.17,-28.87,153.57,1579892205
442,Luderitz,71.6,71.6,73,0,10.29,-26.65,15.16,1579892207
443,Filingue,78.44,78.44,9,0,8.28,14.35,3.32,1579892209
444,Varnavino,26.22,26.22,95,100,10.94,57.4,45.09,1579892211
445,Izumo,44.6,44.6,65,75,16.11,35.37,132.77,1579892214
446,Constantine,46.4,46.4,52,0,2.24,36.37,6.61,1579892130
447,Cairns,76.82,78.8,94,90,3.36,-16.92,145.77,1579892218
448,North Bend,52.23,54.0,87,90,9.17,43.41,-124.22,1579892220
449,Gazojak,39.87,39.87,76,100,10.6,41.19,61.4,1579892222
450,Laas,32.47,35.6,70,20,13.87,46.62,10.7,1579892224
451,Kiruna,5.0,5.0,92,60,3.36,67.86,20.23,1579892226
452,Shaowu,48.74,48.74,96,100,3.62,27.34,117.48,1579892229
453,Sakakah,44.6,44.6,65,40,19.46,29.97,40.21,1579892231
454,Winnemucca,42.8,42.8,80,90,4.7,40.97,-117.74,1579892233
455,Gibsons,47.5,50.0,93,75,13.87,49.4,-123.5,1579892235
456,Lamu,81.54,81.54,87,100,12.12,-2.27,40.9,1579892237
457,Buraidah,55.4,55.4,22,0,9.17,26.33,43.98,1579892094
458,Auki,84.09,84.09,75,24,10.13,-8.77,160.7,1579892241
459,Rafai,74.3,74.3,20,51,3.36,4.95,23.92,1579892244
460,Mariel,78.39,78.8,44,40,3.36,22.99,-82.75,1579892246
461,Bani Walid,59.67,59.67,28,40,9.86,31.76,13.99,1579892248
462,Sao Jose da Coroa Grande,81.93,81.93,78,70,14.72,-8.9,-35.15,1579892250
463,Kautokeino,5.14,5.14,83,0,2.3,69.01,23.04,1579892252
464,Shache,22.08,22.08,71,82,4.27,38.42,77.24,1579892254
465,Sitka,33.8,33.8,100,90,6.93,57.05,-135.33,1579892256
466,Flinders,72.27,73.0,22,90,5.01,-34.58,150.86,1579892258
467,Tuatapere,59.0,59.0,96,100,3.0,-46.13,167.68,1579892261
468,Oranjestad,86.0,86.0,58,20,9.17,12.52,-70.03,1579892263
469,Simbahan,81.23,81.23,83,33,10.4,6.3,120.58,1579892265
470,Vaxjo,41.76,42.8,81,75,16.11,56.88,14.81,1579892267
471,Jinchang,18.79,18.79,53,0,3.06,38.5,102.17,1579892269
472,Preobrazheniye,6.31,6.31,57,0,5.32,42.9,133.91,1579892271
473,Katangli,-0.11,-0.11,95,100,8.25,51.71,143.23,1579892273
474,Ulaangom,-6.65,-6.65,91,99,3.31,49.98,92.07,1579892275
475,Bilibino,-24.63,-24.63,68,90,2.64,68.05,166.44,1579892278
476,Beni,71.51,71.51,45,90,0.87,0.5,29.47,1579892280
477,Totness,79.75,79.75,76,10,13.56,5.88,-56.32,1579892282
478,Puerto Carreno,96.8,96.8,41,20,12.75,6.19,-67.49,1579892284
479,Concarneau,41.22,42.8,81,90,4.7,47.88,-3.92,1579892286
480,Kabare,63.52,63.52,80,90,1.9,-2.47,28.82,1579892288
481,San Cristobal,78.8,78.8,78,75,8.05,7.77,-72.22,1579892290
482,Tachov,27.32,30.99,100,90,3.36,49.8,12.63,1579892292
483,Sosnovka,11.62,11.62,95,100,7.76,56.26,51.28,1579892295
484,Gagino,23.34,23.34,94,99,17.13,55.23,45.03,1579892297
485,Kaeo,62.11,64.0,100,1,6.96,-35.1,173.78,1579892299
486,Luga,34.72,34.72,96,98,9.48,58.74,29.85,1579892301
487,Ucluelet,48.09,48.2,93,90,11.41,48.93,-125.55,1579892095
488,Grootfontein,64.4,64.4,82,40,3.36,-19.57,18.12,1579892305
489,Launceston,57.51,57.99,87,90,14.99,-41.45,147.17,1579892307
490,Lushun,21.2,21.2,73,49,4.47,38.8,121.27,1579892309
491,Golyshmanovo,3.58,3.58,96,56,7.45,56.4,68.37,1579892312
492,Kericho,75.2,75.2,64,75,8.05,-0.37,35.28,1579892314
493,Zhanakorgan,28.02,28.02,93,98,7.74,43.91,67.25,1579892316
494,Ryotsu,32.0,32.0,62,75,3.36,38.08,138.43,1579892318
495,Ponta Delgada,57.2,57.2,67,75,9.17,37.73,-25.67,1579892295
496,Awka,84.22,84.22,15,68,3.87,6.21,7.07,1579892127
497,Idukki,64.24,64.24,61,27,4.97,9.85,76.97,1579892324
498,Tourlaville,38.43,41.0,100,90,6.93,49.64,-1.57,1579892326
499,Semporna,77.0,77.0,94,75,2.24,4.48,118.61,1579892329
500,Ayagoz,15.31,15.31,67,81,2.1,47.97,80.44,1579892331
501,Rafsanjan,44.33,44.33,38,0,8.08,30.41,55.99,1579892333
502,Alexandria,54.59,55.4,47,40,9.17,31.22,29.96,1579892139
503,Telimele,97.7,97.7,15,33,5.66,10.92,-13.33,1579892337
504,La Suiza,79.77,84.2,51,20,13.87,9.85,-83.61,1579892339
505,Maceio,84.2,84.2,70,75,13.87,-9.67,-35.74,1579892131
506,Asaka,43.07,48.0,52,75,18.34,35.8,139.6,1579892343
507,Porto Walter,78.3,78.3,92,100,4.07,-8.27,-72.74,1579892346
508,Basoko,77.59,77.59,28,87,1.59,1.24,23.62,1579892348
509,Camapua,80.53,80.53,79,84,6.26,-19.53,-54.04,1579892350
510,Illela,77.13,77.13,8,0,10.13,13.73,5.3,1579892352
511,Bekovo,24.89,24.89,92,100,19.08,52.47,43.71,1579892354
512,Lorengau,83.53,83.53,70,5,5.53,-2.02,147.27,1579892301
513,Nsanje,71.8,71.8,95,46,6.53,-16.92,35.26,1579892358
514,Mandurah,64.53,66.99,88,57,9.17,-32.55,115.7,1579892361
515,Annemasse,36.55,41.0,93,90,2.24,46.19,6.24,1579892363
516,Moffat,45.63,46.99,93,40,10.29,55.33,-3.45,1579892365
517,Pontianak,78.8,78.8,94,40,0.94,-0.03,109.33,1579892367
518,Seoul,29.01,32.0,92,75,1.12,37.57,126.98,1579892216
519,Apatou,87.94,87.94,51,68,6.17,5.16,-54.35,1579892371
520,Shagonar,-3.46,-3.46,96,99,2.24,51.53,92.8,1579892373
521,Eirunepe,72.45,72.45,97,100,2.82,-6.66,-69.87,1579892375
522,Honiara,73.4,73.4,100,20,2.24,-9.43,159.95,1579892281
523,Raebareli,51.8,51.8,93,1,3.91,26.22,81.23,1579892380
524,Nanortalik,25.95,25.95,93,100,22.26,60.14,-45.24,1579892289
525,Bakchar,28.45,28.45,95,100,7.76,57.02,82.07,1579892384
526,Mezhova,30.27,30.27,77,42,14.43,48.25,36.73,1579892386
527,Hervey Bay,78.4,78.8,83,40,3.36,-25.3,152.85,1579892388
528,Kemi,15.8,15.8,92,90,2.24,65.74,24.56,1579892390
529,Mizan Teferi,70.61,70.61,42,100,1.99,6.98,35.58,1579892392
530,Termez,43.74,46.4,86,40,11.41,37.22,67.28,1579892395
531,Sao Sebastiao,77.52,77.52,77,44,12.59,-23.76,-45.41,1579892397
532,Araria,56.08,56.08,58,0,5.14,26.15,87.52,1579892399
533,Republic of El Salvador,83.03,89.6,61,40,5.82,13.83,-88.92,1579892182
534,Aksarka,0.27,0.27,97,92,4.41,66.56,67.8,1579892403
535,Praia,80.6,80.6,44,3,18.34,14.92,-23.51,1579892378
536,Ginir,62.51,62.51,56,99,0.83,7.13,40.7,1579892407
537,Port Keats,82.78,82.78,83,78,7.47,-14.25,129.55,1579892409
